game_month,game_day,game_week,game_time,game_vs,seat_group,seat_block,seat_col,seat_no,seat_set_no,ticket_price,check_ticket
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,15,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,16,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,17,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,18,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,19,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,20,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,21,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,22,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,23,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,25,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,1,26,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,1,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,6,0,40000,0
